City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Hirara,JP,2021-09-21 21:41:54,24.8,125.2833,83.59,72,0,3.33
262,Buala,SB,2021-09-21 21:41:55,-8.145,159.5921,82.47,78,81,7.63
263,Jonesboro,US,2021-09-21 21:41:55,35.8423,-90.7043,70.7,100,90,10.36
264,Arlit,NE,2021-09-21 21:40:12,18.7369,7.3853,93.47,11,0,4.45
265,Novo Aripuana,BR,2021-09-21 21:41:55,-5.1206,-60.3797,87.28,46,87,1.54
266,Dongsheng,CN,2021-09-21 21:41:56,39.8161,109.9776,59.97,31,3,7.58
267,Rosario,AR,2021-09-21 21:37:11,-32.9468,-60.6393,67.82,33,0,1.99
268,Beringovskiy,RU,2021-09-21 21:41:56,63.05,179.3167,37.04,97,100,9.53
269,Guerrero Negro,MX,2021-09-21 21:41:56,27.9769,-114.0611,83.17,51,27,12.77
270,Egvekinot,RU,2021-09-21 21:41:56,66.3167,-179.1667,23.49,67,9,2.8
271,Skeldon,GY,2021-09-21 21:41:57,5.8833,-57.1333,79.32,82,38,6.31
272,Marawi,PH,2021-09-21 21:41:57,7.9986,124.2928,64.65,94,78,2.42
273,Trelew,AR,2021-09-21 21:40:27,-43.249,-65.3051,70.07,17,0,22.41
274,Nyurba,RU,2021-09-21 21:41:57,63.2842,118.3319,35.53,94,90,4.18
275,Chokurdakh,RU,2021-09-21 21:41:57,70.6333,147.9167,30.27,66,91,9.6
276,Oga,IT,2021-09-21 21:41:58,46.4631,10.347,50.68,91,16,3.6
277,Puerto Carreno,CO,2021-09-21 21:41:58,6.189,-67.4859,82.71,77,100,3.06
278,Thompson,CA,2021-09-21 21:39:18,55.7435,-97.8558,48.36,61,40,3.44
279,Acarau,BR,2021-09-21 21:41:58,-2.8856,-40.12,78.33,80,14,17.94
280,Rairangpur,IN,2021-09-21 21:41:59,22.2676,86.1751,73.6,98,100,2.35
281,Airai,TL,2021-09-21 21:41:59,-8.9266,125.4092,60.91,79,81,3.65
282,Ambelon,GR,2021-09-21 21:41:59,39.75,22.3667,72.72,77,40,5.75
283,Longyearbyen,SJ,2021-09-21 21:40:55,78.2186,15.6401,42.64,81,20,3.44
284,Akdepe,TM,2021-09-21 21:41:59,42.0551,59.3788,57.29,19,16,9.44
285,Aden,YE,2021-09-21 21:42:00,12.7794,45.0367,86.85,68,73,11.01
286,Jaumave,MX,2021-09-21 21:42:00,23.4167,-99.3833,87.94,57,16,6.49
287,Vardo,NO,2021-09-21 21:40:27,70.3705,31.1107,41.2,74,22,27.2
288,Show Low,US,2021-09-21 21:42:00,34.2542,-110.0298,79.48,19,1,9.22
289,Camocim,BR,2021-09-21 21:42:01,-2.9022,-40.8411,79.03,78,7,16.02
290,Vaitape,PF,2021-09-21 21:42:01,-16.5167,-151.75,78.49,72,9,7.47
291,Santa Rosa,PH,2021-09-21 21:42:01,14.3122,121.1114,82.38,82,100,5.55
292,Puerto Escondido,MX,2021-09-21 21:42:01,15.85,-97.0667,85.32,71,100,5.95
