City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
637,Selma,US,78.17,haze,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
643,Auki,SB,76.14,broken clouds,-8.7676,160.7034,Auki Motel
644,Matara,LK,79.16,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
645,Zhumadian,CN,78.78,light rain,32.9794,114.0294,Ouyue House Hotel
646,Kingman,US,84.54,overcast clouds,35.1894,-114.053,Rodeway Inn Kingman Route 66
650,Abidjan,CI,84.16,scattered clouds,5.3094,-4.0197,ibis Abidjan Plateau
652,Cetraro,IT,77.23,clear sky,39.5166,15.9416,Hotel Carruba RISTORANTE
653,Yarmouth,US,80.65,scattered clouds,41.7057,-70.2286,Blue Rock Resort
659,Southbridge,US,79.23,scattered clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
669,Mersing,MY,78.71,broken clouds,2.4312,103.8405,Timotel Hotel
671,Kapatan,PH,78.17,broken clouds,5.9006,125.2375,Hacienda Don Juan
674,Guayaramerin,BO,89.65,clear sky,-10.8368,-65.3614,Hostal Funf
675,Ewa Beach,US,76.95,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
